user_id,course_id,rating,title,category,tags,level,meta,age,gender,education_level,interests,skill_level,gender_enc,education_level_enc,skill_level_enc
1,1,5,Python Basics,Programming,python beginner intro,Beginner,Python Basics Programming python beginner intro Beginner,,,,,,,,
1,3,4,Data Science with Python,Data Science,python data analysis machine-learning,Intermediate,Data Science with Python Data Science python data analysis machine-learning Intermediate,,,,,,,,
1,5,5,Deep Learning Fundamentals,AI,deep-learning neural-networks,Advanced,Deep Learning Fundamentals AI deep-learning neural-networks Advanced,,,,,,,,
1,7,4,JavaScript for Beginners,Programming,javascript web frontend,Beginner,JavaScript for Beginners Programming javascript web frontend Beginner,,,,,,,,
1,12,5,SQL for Data Analysis,Data Science,sql data-analysis queries,Beginner,SQL for Data Analysis Data Science sql data-analysis queries Beginner,,,,,,,,
2,1,4,Python Basics,Programming,python beginner intro,Beginner,Python Basics Programming python beginner intro Beginner,,,,,,,,
2,4,5,Machine Learning Basics,AI,machine-learning ai algorithms,Intermediate,Machine Learning Basics AI machine-learning ai algorithms Intermediate,,,,,,,,
2,5,4,Deep Learning Fundamentals,AI,deep-learning neural-networks,Advanced,Deep Learning Fundamentals AI deep-learning neural-networks Advanced,,,,,,,,
2,9,5,Database Management,IT,sql database backend,Intermediate,Database Management IT sql database backend Intermediate,,,,,,,,
2,14,4,AWS Solutions Architect,Cloud,aws advanced cloud computing,Advanced,AWS Solutions Architect Cloud aws advanced cloud computing Advanced,,,,,,,,
3,6,5,Web Development HTML,Coding,html css web,Beginner,Web Development HTML Coding html css web Beginner,,,,,,,,
3,7,4,JavaScript for Beginners,Programming,javascript web frontend,Beginner,JavaScript for Beginners Programming javascript web frontend Beginner,,,,,,,,
3,8,5,React JS Complete Guide,Programming,react javascript frontend,Intermediate,React JS Complete Guide Programming react javascript frontend Intermediate,,,,,,,,
3,15,3,DevOps Foundations,DevOps,devops ci-cd automation,Intermediate,DevOps Foundations DevOps devops ci-cd automation Intermediate,,,,,,,,
3,20,4,Natural Language Processing,NLP,nlp text-processing ai,Advanced,Natural Language Processing NLP nlp text-processing ai Advanced,,,,,,,,
4,1,3,Python Basics,Programming,python beginner intro,Beginner,Python Basics Programming python beginner intro Beginner,,,,,,,,
4,9,5,Database Management,IT,sql database backend,Intermediate,Database Management IT sql database backend Intermediate,,,,,,,,
4,10,4,Cyber Security Basics,Security,cybersecurity network,Beginner,Cyber Security Basics Security cybersecurity network Beginner,,,,,,,,
4,18,5,UI/UX Design Principles,Design,design uiux figma wireframes,Beginner,UI/UX Design Principles Design design uiux figma wireframes Beginner,,,,,,,,
